ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2022;MG;São Sebastião do Oeste;3164605;Miíase Cutânea;2;31417
2022;MG;São Sebastião do Paraíso;3164704;Cisticercose Bovina;1;35964
2022;MG;São Sebastião do Paraíso;3164704;Euritrematose (ruminantes);50;35964
2022;MG;São Sebastião do Paraíso;3164704;Fígado Amarelo;1;35964
2022;MG;São Sebastião do Paraíso;3164704;Lesões Tuberculósicas;7;35964
2022;MG;São Sebastião do Rio Verde;3164902;Fasciolose Hepática (notificação Sif);7;7160
2022;MG;São Tiago;3165008;Cisticercose Bovina;2;30430
2022;MG;São Tomás de Aquino;3165107;Cisticercose Bovina;1;8195
2022;MG;São Tomás de Aquino;3165107;Euritrematose (ruminantes);4;8195
2022;MG;São Tomás de Aquino;3165107;Fasciolose Hepática (notificação Sif);1;8195
2022;MG;São Vicente de Minas;3165305;Cisticercose Bovina;1;16874
2022;MG;São Vicente de Minas;3165305;Lesões Tuberculósicas;2;16874
2022;MG;Sapucaí-Mirim;3165404;Fasciolose Hepática (notificação Sif);1;5435
2022;MG;Sapucaí-Mirim;3165404;Lesões Tuberculósicas;3;5435
2022;MG;Sardoá;3165503;Cisticercose Bovina;1;4975
2022;MG;Sem-Peixe;3165560;Cisticercose Bovina;5;12036
2022;MG;Sem-Peixe;3165560;Equinococose/hidatidose (notificaçao Sif);1;12036
2022;MG;Sem-Peixe;3165560;Lesões Tuberculósicas;2;12036
2022;MG;Senador Amaral;3165578;Fasciolose Hepática (notificação Sif);1;4999
2022;MG;Senador Cortes;3165602;Cisticercose Bovina;1;6332
2022;MG;Senador Cortes;3165602;Fígado Amarelo;1;6332
2022;MG;Senador Cortes;3165602;Lesões Tuberculósicas;1;6332
2022;MG;Senador Firmino;3165701;Lesões Tuberculósicas;2;5484
2022;MG;Senador José Bento;3165800;Fasciolose Hepática (notificação Sif);2;7816
2022;MG;Senador Modestino Gonçalves;3165909;Cisticercose Bovina;1;8797
2022;MG;Senhora de Oliveira;3166006;Cisticercose Bovina;1;5130
2022;MG;Senhora de Oliveira;3166006;Fasciolose Hepática (notificação Sif);1;5130
2022;MG;Senhora de Oliveira;3166006;Lesões Tuberculósicas;1;5130
2022;MG;Senhora do Porto;3166105;Cisticercose Bovina;2;15484
2022;MG;Senhora do Porto;3166105;Fasciolose Hepática (notificação Sif);1;15484
2022;MG;Senhora do Porto;3166105;Fígado Amarelo;1;15484
2022;MG;Senhora do Porto;3166105;Lesões Tuberculósicas;1;15484
2022;MG;Senhora do Porto;3166105;Miíase Cutânea;2;15484
2022;MG;Senhora dos Remédios;3166204;Equinococose/hidatidose (notificaçao Sif);1;15730
2022;MG;Senhora dos Remédios;3166204;Lesões Tuberculósicas;3;15730
2022;MG;Serra da Saudade;3166600;Cisticercose Bovina;5;21241
2022;MG;Serra do Salitre;3166808;Cisticercose Bovina;18;57254
2022;MG;Serra do Salitre;3166808;Fígado Amarelo;1;57254
2022;MG;Serra do Salitre;3166808;Lesões Tuberculósicas;10;57254
2022;MG;Serra do Salitre;3166808;Miíase Cutânea;2;57254
2022;MG;Serra do Salitre;3166808;Tuberculose (notificação Sif);1;57254
2022;MG;Serra dos Aimorés;3166709;Actinomicose (notificação Sif);10;18173
2022;MG;Serra dos Aimorés;3166709;Cisticercose Bovina;5;18173
2022;MG;Serra dos Aimorés;3166709;Fígado Amarelo;2;18173
2022;MG;Serra dos Aimorés;3166709;Lesões Tuberculósicas;1;18173
2022;MG;Serra dos Aimorés;3166709;Miíase Cutânea;1;18173
2022;MG;Serrania;3166907;Euritrematose (ruminantes);4;9467
2022;MG;Serrania;3166907;Lesões Tuberculósicas;1;9467
2022;MG;Serranos;3167004;Euritrematose (ruminantes);1;12283
2022;MG;Serranos;3167004;Fasciolose Hepática (notificação Sif);1;12283
2022;MG;Serro;3167103;Cisticercose Bovina;4;32537
2022;MG;Serro;3167103;Lesões Tuberculósicas;1;32537
2022;MG;Sete Lagoas;3167202;Cisticercose Bovina;2;17768
2022;MG;Silveirânia;3167301;Lesões Tuberculósicas;1;9394
2022;MG;Silvianópolis;3167400;Cisticercose Bovina;1;28765
2022;MG;Silvianópolis;3167400;Equinococose/hidatidose (notificaçao Sif);1;28765
2022;MG;Silvianópolis;3167400;Fasciolose Hepática (notificação Sif);19;28765
2022;MG;Silvianópolis;3167400;Lesões Tuberculósicas;4;28765
2022;MG;Simão Pereira;3167509;Fasciolose Hepática (notificação Sif);4;7336
2022;MG;Simão Pereira;3167509;Lesões Tuberculósicas;1;7336
2022;MG;Sobrália;3167707;Cisticercose Bovina;1;17983
2022;MG;Sobrália;3167707;Miíase Cutânea;1;17983
2022;MG;Soledade de Minas;3167806;Cisticercose Bovina;1;14668
2022;MG;Soledade de Minas;3167806;Fasciolose Hepática (notificação Sif);14;14668
2022;MG;Soledade de Minas;3167806;Lesões Tuberculósicas;1;14668
2022;MG;Taparuba;3168051;Actinomicose (notificação Sif);1;12989
2022;MG;Taparuba;3168051;Cisticercose Bovina;2;12989
2022;MG;Taparuba;3168051;Fígado Amarelo;1;12989
2022;MG;Taparuba;3168051;Miíase Cutânea;1;12989
2022;MG;Taparuba;3168051;Tuberculose (notificação Sif);1;12989
2022;MG;Tapira;3168101;Cisticercose Bovina;2;45119
2022;MG;Tapira;3168101;Lesões Tuberculósicas;1;45119
2022;MG;Tapiraí;3168200;Cisticercose Bovina;4;19729
2022;MG;Tapiraí;3168200;Euritrematose (ruminantes);1;19729
2022;MG;Tarumirim;3168408;Cisticercose Bovina;4;45366
2022;MG;Tarumirim;3168408;Equinococose/hidatidose (notificaçao Sif);2;45366
2022;MG;Tarumirim;3168408;Fígado Amarelo;4;45366
2022;MG;Tarumirim;3168408;Miíase Cutânea;12;45366
2022;MG;Teixeiras;3168507;Cisticercose Bovina;1;8309
2022;MG;Teixeiras;3168507;Lesões Tuberculósicas;2;8309
