codigo_ibge;uf;municipio;ano;cabecas
2109908;MA;Santa Inês;2021;68920
2110005;MA;Santa Luzia;2021;254985
2110039;MA;Santa Luzia do Paruá;2021;63776
2110104;MA;Santa Quitéria do Maranhão;2021;5556
2110203;MA;Santa Rita;2021;17320
2110237;MA;Santana do Maranhão;2021;3500
2110278;MA;Santo Amaro do Maranhão;2021;1635
2110302;MA;Santo Antônio dos Lopes;2021;21665
2110401;MA;São Benedito do Rio Preto;2021;1230
2110500;MA;São Bento;2021;5350
2110609;MA;São Bernardo;2021;11322
2110658;MA;São Domingos do Azeitão;2021;8541
2110708;MA;São Domingos do Maranhão;2021;64756
2110807;MA;São Félix de Balsas;2021;18035
2110856;MA;São Francisco do Brejão;2021;70999
2110906;MA;São Francisco do Maranhão;2021;21569
2111003;MA;São João Batista;2021;11240
2111029;MA;São João do Carú;2021;44863
2111052;MA;São João do Paraíso;2021;111416
2111078;MA;São João do Soter;2021;13140
2111102;MA;São João dos Patos;2021;32798
2111201;MA;São José de Ribamar;2021;1433
2111250;MA;São José dos Basílios;2021;15365
2111300;MA;São Luís;2021;1195
2111409;MA;São Luís Gonzaga do Maranhão;2021;80882
2111508;MA;São Mateus do Maranhão;2021;41262
2111532;MA;São Pedro da Água Branca;2021;28634
2111573;MA;São Pedro dos Crentes;2021;63428
2111607;MA;São Raimundo das Mangabeiras;2021;38456
2111631;MA;São Raimundo do Doca Bezerra;2021;8802
2111672;MA;São Roberto;2021;8304
2111706;MA;São Vicente Ferrer;2021;7680
2111722;MA;Satubinha;2021;25132
2111748;MA;Senador Alexandre Costa;2021;17194
2111763;MA;Senador La Rocque;2021;92860
2111789;MA;Serrano do Maranhão;2021;5887
2111805;MA;Sítio Novo;2021;152677
2111904;MA;Sucupira do Norte;2021;18636
2111953;MA;Sucupira do Riachão;2021;9979
2112001;MA;Tasso Fragoso;2021;22117
2112100;MA;Timbiras;2021;11950
