ano;mes;uf;especie;abatidos
2023;4;MG;BOVINOS;164870
2023;4;MS;BOVINOS;231719
2023;4;MT;BOVINOS;400223
2023;4;PA;BOVINOS;167574
2023;4;PE;BOVINOS;3021
2023;4;PI;BOVINOS;202
2023;4;PR;BOVINOS;51787
2023;4;RJ;BOVINOS;2332
2023;4;RO;BOVINOS;207748
2023;4;RR;BOVINOS;2563
2023;4;RS;BOVINOS;38789
2023;4;SC;BOVINOS;6098
2023;4;SP;BOVINOS;199673
2023;4;TO;BOVINOS;84776
2023;5;AC;BOVINOS;28955
2023;5;AL;BOVINOS;20
2023;5;AM;BOVINOS;3515
2023;5;AP;BOVINOS;4
2023;5;BA;BOVINOS;35131
2023;5;DF;BOVINOS;102
2023;5;ES;BOVINOS;10895
2023;5;GO;BOVINOS;285095
2023;5;MA;BOVINOS;34923
2023;5;MG;BOVINOS;198523
2023;5;MS;BOVINOS;257335
2023;5;MT;BOVINOS;501343
2023;5;PA;BOVINOS;207519
2023;5;PE;BOVINOS;2870
2023;5;PI;BOVINOS;229
2023;5;PR;BOVINOS;66072
2023;5;RJ;BOVINOS;2161
2023;5;RO;BOVINOS;250503
2023;5;RR;BOVINOS;2377
2023;5;RS;BOVINOS;45807
2023;5;SC;BOVINOS;6094
2023;5;SP;BOVINOS;233201
2023;5;TO;BOVINOS;108864
2023;6;AC;BOVINOS;26542
2023;6;AM;BOVINOS;3232
2023;6;AP;BOVINOS;18
2023;6;BA;BOVINOS;38694
2023;6;DF;BOVINOS;115
2023;6;ES;BOVINOS;10436
2023;6;GO;BOVINOS;274538
2023;6;MA;BOVINOS;34670
2023;6;MG;BOVINOS;192336
2023;6;MS;BOVINOS;246617
2023;6;MT;BOVINOS;458006
2023;6;PA;BOVINOS;213384
2023;6;PE;BOVINOS;4388
2023;6;PI;BOVINOS;210
2023;6;PR;BOVINOS;57919
2023;6;RJ;BOVINOS;2321
2023;6;RO;BOVINOS;240364
2023;6;RR;BOVINOS;1093
2023;6;RS;BOVINOS;35575
2023;6;SC;BOVINOS;5380
2023;6;SP;BOVINOS;208027
2023;6;TO;BOVINOS;102792
2023;7;AC;BOVINOS;32690
2023;7;AL;BOVINOS;40
2023;7;AM;BOVINOS;3722
2023;7;BA;BOVINOS;38801
2023;7;DF;BOVINOS;71
2023;7;ES;BOVINOS;10695
2023;7;GO;BOVINOS;270368
2023;7;MA;BOVINOS;34929
2023;7;MG;BOVINOS;191723
2023;7;MS;BOVINOS;257859
2023;7;MT;BOVINOS;466264
2023;7;PA;BOVINOS;220544
